Tweet,created_at,hashtags
Scorsese confirms new #DeNiro #Trump #gangster movie. #Orangefellas #Newsnight https://t.co/l9HYO3Zb5x,2020-05-13 08:31:12,"['DeNiro', 'Trump', 'gangster', 'Orangefellas', 'Newsnight']"
"RT @UNNTV1: In a hotel in Liudu Bridge, #Hankou, #Wuhan, #China at least 20 people were picked up with 3 ambulances. 
And officials reporte…",2020-05-13 08:31:17,"['Hankou', 'Wuhan', 'China']"
"RT @BetteMidler: Now Putin’s spokesman reportedly has Coronavirus. Oh, excuse me — his RUSSIAN spokesman, not #DonaldTrump.",2020-05-13 08:31:19,['DonaldTrump']
RT @Omambala_Chuks: #RT @Amaka_Ekwo: RT @realNaomiLitvin: Why Was A Nigerian Independence Leader In #Trump's VIP Section In Iowa? | Iowa St…,2020-05-13 08:31:21,"['RT', 'Trump']"
RT @EmperorNorton: He's rich. There are different rules for the rich.,2020-05-13 08:31:23,[]
"RT @SaraCarterDC: Clinton, DNC Lawyers 'Enlisted Foreign Interference' In U.S. Election, Not #Trump 

They knew that #Steele was a foreign…",2020-05-13 08:31:33,"['Trump', 'Steele']"
"#BorisJohnson caught it, people in #Trump's inner circle have it, people in #Putin's inner circle have it. Kinda makes a person optimistic",2020-05-13 08:31:33,"['BorisJohnson', 'Trump', 'Putin']"
"RT @asaadals: @mrjamesob @RichardBentall Wow, look at this one!
Probably still support him on many issues....
https://t.co/LpuM330z5P",2020-05-13 08:31:37,[]
RT @FaizelPatel143: This man is supposed to be President of the United States.All I can say is #Trump is an embarrassment to the people of…,2020-05-13 08:31:39,['Trump']
RT @AndyOstroy: .@HowardStern has millions of listeners... many of them @realDonaldTrump supporters. He’s 100% right. If he can convince th…,2020-05-13 08:31:42,[]
Is that baby #Trump?,2020-05-13 08:31:45,['Trump']
@savag3ap3 Is anyone who thinks that this is #DonaldTrump?,2020-05-13 08:31:49,['DonaldTrump']
RT @AndyOstroy: .@HowardStern has millions of listeners... many of them @realDonaldTrump supporters. He’s 100% right. If he can convince th…,2020-05-13 08:31:49,[]
RT @CrisisGroup: Iraq's new prime minister should use a honeymoon in relations with the #Trump administration to address the country's econ…,2020-05-13 08:31:53,['Trump']
"RT @SaraCarterDC: Clinton, DNC Lawyers 'Enlisted Foreign Interference' In U.S. Election, Not #Trump 

They knew that #Steele was a foreign…",2020-05-13 08:32:16,"['Trump', 'Steele']"
"RT @Ricco_Diaz: May 12, 2020 Totals - New #CDC CDC Projections number of 147,000 #dead #Americans of #Covid19 #Coronavirus under the #Trump…",2020-05-13 08:32:17,"['CDC', 'dead', 'Americans', 'Covid19', 'Coronavirus', 'Trump']"
"Exactly. The Clinton campaign was paying for direct Russia involvement.

But it was the unscrupulous #DemoBrats directing it and accusing innocent @realDonaldTrump

Every honest #Democrat must be ashamed to be associated with such despicable Traitors selling USA to Islam + #china",2020-05-13 08:32:21,['DemoBrats']
RT @AndyOstroy: .@HowardStern has millions of listeners... many of them @realDonaldTrump supporters. He’s 100% right. If he can convince th…,2020-05-13 08:32:21,[]
RT @SamWiseLGBT: #Trump is a lil’ bitch 👍😅,2020-05-13 08:32:22,['Trump']
● NEWS ● #counterpunch ☞ #Trump Is Using #COVID19 As An Excuse To Let Polluters Destroy https://t.co/QdiBoLzF4i,2020-05-13 08:32:26,"['counterpunch', 'Trump', 'COVID19']"
"Next thing we will hear from the WH is that the Dems created the Coronavirus pandemic so that they could win the elections in Nov.

Watch this space #dems #gop #trump",2020-05-13 08:32:27,[]
"RT @inselratte: Tory leaver MP Bone lists reasons why the PM's Sunday television address was ""wrong"" and breached ministerial code. 
He arg…",2020-05-13 08:32:29,[]
"RT @RichardAngwin: Our awesome 245 year old Postal Service is enshrined in The Constitution.

📢 Don't let Trump and the Republicans destroy…",2020-05-13 08:32:41,[]
The blue areas show where in the #US people are dying because of #Corona. It is striking that this is where the loudest crying for loosening is the most dying. #Trump https://t.co/E5M7pfrxWO,2020-05-13 08:32:48,"['US', 'Corona']"
"RT @RichardAngwin: Our awesome 245 year old Postal Service is enshrined in The Constitution.

📢 Don't let Trump and the Republicans destroy…",2020-05-13 08:32:53,[]
"Dennis Atkins: #Trump using Australia to sell his crazy COVID-19 conspiracy theories | The New Daily 
#Auspol #NewsCorpse
https://t.co/agmQmBMlq5",2020-05-13 08:32:59,"['Trump', 'Auspol']"
RT @274MicroCap: $GCGX Builds Accumulation Base as Major Growth Phase Begins https://t.co/O0RbgUWwla… $TGHI $GMEV $MDGSW $BYZN $GSUM $MDGS…,2020-05-13 08:33:03,[]
"RT @errinspelling: wake from this nightmare
let's all move to Anguilla
three total cases

one point four million
no government protection
c…",2020-05-13 08:33:06,[]
