Tweet,created_at,hashtags
"RT @kamaalrkhan: Watch here, how does a journalist fight with president #DonaldTrump face to face during a press confrnc. Can Modi Ji face…",2020-05-13 10:52:55,['DonaldTrump']
"RT @zeusFanHouse: Fauci &amp; #Democrats Use Senate Testimony Stage To Bash #Trump &amp; Promote #Vaccines

#Fauci continues holding nation hostage…",2020-05-13 10:53:02,"['Democrats', 'Trump', 'Vaccines', 'Fauci']"
"RT @BetteMidler: Now Putin’s spokesman reportedly has Coronavirus. Oh, excuse me — his RUSSIAN spokesman, not #DonaldTrump.",2020-05-13 10:53:02,['DonaldTrump']
RT @zeba_mahnaz: Peace with #taliban is meaningless. #ghani freed Taliban and in return they attacked #maternity hospital in #Barchie and k…,2020-05-13 10:53:03,"['taliban', 'ghani', 'maternity', 'Barchie']"
RT @winston_gillies: Very well put!#WWG1WGAWORLDWIDE #MAGA2020Landslide https://t.co/Wizl48n7xr,2020-05-13 10:53:04,"['WWG1WGAWORLDWIDE', 'MAGA2020Landslide']"
"RT @rightNtruthMat: @realDonaldTrump Trump is Melting Down and the GOP is enabling him

Obama envy, 82K victims,  testing failures, no narc…",2020-05-13 10:53:08,[]
"Now The Kangaroo Court has been exposed,",2020-05-13 10:53:10,[]
"RT @SaraCarterDC: #NEW: Clinton, DNC Lawyers 'Enlisted Foreign Interference' In U.S. Election, Not #Trump 

They knew that #Steele was a fo…",2020-05-13 10:53:11,"['NEW', 'Trump', 'Steele']"
RT @ErikAngel7: People are waking up to the corruption! The seat flipped after 22 years. #WhenAreYouWakingUp? #Q #TheGreatAwaking #MAGA #Ob…,2020-05-13 10:53:13,"['WhenAreYouWakingUp', 'Q', 'TheGreatAwaking', 'MAGA']"
"One weird thought:

In my mind Trump = Donald Trump, it's not like Trump = President of the USA.

Guess it means I still have some (delusional) standards.

#USA #Trump #COVIDー19",2020-05-13 10:53:15,[]
RT @adelafuente1: Thanks #Trump,2020-05-13 10:53:15,['Trump']
"@jelani9 nope, espicially if the DOJ, Supreme court etc continues to vote on side of #trump and not uphold the constitution.  We will not be trusted ever again.",2020-05-13 10:53:16,['trump']
"RT @cjtruth: 26) Corey Lewandowski called failed Democratic Presidential Candidate Eric Swalwell, ""President Swalwell"" during an official #…",2020-05-13 10:53:18,[]
"RT @SaraCarterDC: Clinton, DNC Lawyers 'Enlisted Foreign Interference' In U.S. Election, Not #Trump 

They knew that #Steele was a foreign…",2020-05-13 10:53:19,"['Trump', 'Steele']"
"RT @kamaalrkhan: Modi Ji friend #DonaldTrump does have press conference every week, fight with Journalists n reply them. Modi ji doesn’t wa…",2020-05-13 10:53:21,['DonaldTrump']
"On air w @Monocle24 on politics around #Trump and #China --- and how it might damage UK 

https://t.co/jw1doXh1sd https://t.co/xzVzNBQA1l",2020-05-13 10:53:22,"['Trump', 'China']"
RT @mterr337: Armed anti lockdown protesters that stormed the Michigan State Capitol with the encouragement &amp; endorsement of #trump have co…,2020-05-13 10:53:29,['trump']
"RT @scarlett_0hara: @hutton112329 Wrong! We have our ""Virginia Women For Trump"" annual tea at the #Trump Hotel once a year and we have our…",2020-05-13 10:53:32,['Trump']
"RT @howardfineman: #Trump approval dips amid mounting coronavirus death toll, trails #Biden by 8 points: Reuters/Ipsos poll - Reuters. For…",2020-05-13 10:53:32,"['Trump', 'Biden']"
"@Shasta_Rayne @Txsconstitution @MichaelNey19 @BishopBob747 @Ledhedd @sbcpp8675309 @chelemp @lpray18 @sugaree71 @JoeAllenNewman @headdock @Sixxwitch1 @urbanfatbiker @PithyPins @DigitalTyranny @Lfeld1957 @life_is_art___ @Dsntslp @amylorrainelong @NickCarlin6 @BrigidCovey @painadvocateAR @Brokenhuman8 @Bris516 @ChelseaJoPerez1 @bonniez45 @HowardWill5 @LadyAg72 @TeriCottone @WoPSufir @DL15277269 @JSG_54 @Tootwisted40 @D321Debbie @Goin4sane66 @keesaroo @fightpaindaily @Deeenst @TheFuglyFrog @ClaireCoppeto @donnelsonguy @cathy_kean @TerriMe3 @PROPkills @ClarisseTru @krausemom @VampWriterGRRL #Trump, @ThomasKlineMD , #CPP called then? How is this man still employed @BostonPainCare you have yet to address this mans behavior &amp; his ""go ahead commit suicide to patient"" tweets! @NCMedBoard you also, have yet to address consulting with this delusional man on Dr. Kline...",2020-05-13 10:53:34,[]
"@charliekirk11 @bclements73 @realDonaldTrump 
Listening to this prophet over and over again who NEVER gets things wrong. He along with #KimClement prophesied YEARS BEFORE #Trump would be president.

He is saying God is showing him that 
NOW TRUMP HAS TO USE IMPEACHMENT AGAINST 
SCHIFF, PELOSI AND JUDGES.",2020-05-13 10:53:35,[]
"@dbongino #Democrats have always skated in the past — for lying, #perjury, leaking, #treason, etc. — because #Republicans didn’t have the balls to prosecute them. With #Trump and #Barr in charge, it’s a new ballgame.",2020-05-13 10:53:35,"['Democrats', 'perjury', 'treason']"
"RT @SaraCarterDC: Clinton, DNC Lawyers 'Enlisted Foreign Interference' In U.S. Election, Not #Trump 

They knew that #Steele was a foreign…",2020-05-13 10:53:37,"['Trump', 'Steele']"
"Conspiracy America and your citizens are unfortunately led the wrong direction, feels sad when you are dying 2000 a day when your dipshit president #DonaldTrump is still worrying about his elections. What’s more sad is when you knew he’s wrong but you can’t avoid supporting him.",2020-05-13 10:53:38,[]
"RT @zeusFanHouse: Fauci &amp; #Democrats Use Senate Testimony Stage To Bash #Trump &amp; Promote #Vaccines

#Fauci continues holding nation hostage…",2020-05-13 10:53:38,"['Democrats', 'Trump', 'Vaccines', 'Fauci']"
'Hundred-aires' have certain  behaviors... billionaires have a completely different set of behaviors... #trump is a hundred-aire.,2020-05-13 10:53:44,['trump']
"RT @SaraCarterDC: Clinton, DNC Lawyers 'Enlisted Foreign Interference' In U.S. Election, Not #Trump 

They knew that #Steele was a foreign…",2020-05-13 10:53:46,"['Trump', 'Steele']"
RT @meme_revolt: More #Trump as a baby memes... https://t.co/Vto4M5v15r,2020-05-13 10:53:53,['Trump']
"RT @SaraCarterDC: #NEW: Clinton, DNC Lawyers 'Enlisted Foreign Interference' In U.S. Election, Not #Trump 

They knew that #Steele was a fo…",2020-05-13 10:53:55,"['NEW', 'Trump', 'Steele']"
British Writer Pens The Best Description Of Trump I’ve Read https://t.co/HcE7GKzOhK #natewhite #british #trump,2020-05-13 10:53:55,"['natewhite', 'british', 'trump']"
"RT @PeteKent01: #BREAKING: #Snowflake #Meltdown
COAST TO COAST as #Trump backed candidates poised to win #SpecialElection for #House
Seats…",2020-05-13 10:53:56,"['BREAKING', 'Snowflake', 'Meltdown', 'Trump', 'SpecialElection', 'House']"
"RT @SaraCarterDC: Clinton, DNC Lawyers 'Enlisted Foreign Interference' In U.S. Election, Not #Trump 

They knew that #Steele was a foreign…",2020-05-13 10:53:57,"['Trump', 'Steele']"
"@briantylercohen #coronavirus #COVIDー19 #COVID19 #QANON #WWG1WGA #Trump #POTUS #Hydroxychloroquine 

DR. YVETTE LOZANO, TX. USA SPEAKS BRAVELY ABOUT COVID CURE. THIS LADY NEEDS TO TALK AT ALL WHITE HOUSE PRESSERS.

https://t.co/YMbtrosg8r",2020-05-13 10:53:57,"['coronavirus', 'COVIDー19', 'COVID19', 'QANON', 'WWG1WGA', 'Trump', 'POTUS', 'Hydroxychloroquine']"
RT @SandSupa: Trump's New Press Sec Drops SCORCHING Details of Obamagate https://t.co/rDrbnxyKRL via @YouTube #OAN  #ObamaGate #Obama #corr…,2020-05-13 10:54:04,"['OAN', 'ObamaGate', 'Obama']"
"RT @zeusFanHouse: John #Brennan under the spotlight!

#Obama CIA Chief #JohnBrennan Under Fire for the Creation of Bogus January 2017 Intel…",2020-05-13 10:54:08,"['Brennan', 'Obama', 'JohnBrennan']"
"RT @FireCrownEyes: “Harvey Weinstein is a wonderful human being, a GOOD FRIEND, a powerhouse.” - Michelle Obama #OBAMAGATE #harveyweinstein…",2020-05-13 10:54:09,"['OBAMAGATE', 'harveyweinstein']"
@JohnCornyn @thedispatch NJ IS INCREASING testing EVERY day #Trump,2020-05-13 10:54:10,['Trump']
"RT @Manny_Funes: Of course the coronavirus infections is spiking up in areas that backed @realDonaldTrump 

What else did you expected to h…",2020-05-13 10:54:10,[]
